,modelname,category,productpdfurl,productimageurl,productimageurl2,productimageurl3,productimageurl4
118,Hermetic Rotary Compressor Cutaway,,null,https://tech-labs.com/sites/default/files/product_images/DAC_373-160_Right.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_373-160_Fronta.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_373-160_Left.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_373-160_Right.jpg
119,Hermetic Scroll Refrigeration Compressor Cutaway,,null,https://tech-labs.com/sites/default/files/product_images/DAC_373-130_Front.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_373-130_Side.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_373-130_Back.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_373-130_Front.jpg
120,Hose and Coupling Sample Board,,null,https://tech-labs.com/sites/default/files/product_images/868-PAC.jpg,null,https://tech-labs.com/sites/default/files/product_images/P868_SL01_675x1013_0.png,https://tech-labs.com/sites/default/files/product_images/868-PAC.jpg
121,Hydraulic Component Cutaway Set,,null,https://tech-labs.com/sites/default/files/product_images/DAC-701.jpg,null,https://tech-labs.com/sites/default/files/product_images/DAC-701-Side.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-701.jpg
122,Hydraulic Diaphragm Pump Dissectible,,null,https://tech-labs.com/sites/default/files/product_images/DAC_275-130.jpg,null,null,https://tech-labs.com/sites/default/files/product_images/DAC_275-130.jpg
123,Hydraulic Manual Flow Control Valve Cutaway,,null,https://tech-labs.com/sites/default/files/product_images/DAC_773-210V-Front.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_773-210V-Right.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_773-210V-Left.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_773-210V-Front.jpg
124,In-Line Friction-Type Pneumatic Clutch Cutaway,,null,https://tech-labs.com/sites/default/files/product_images/DAC_200-2202_Front.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_200-2202_Right.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_200-2202_Left.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_200-2202_Front.jpg
125,In-Line Helical Gear Reducer Cutaway,,null,https://tech-labs.com/sites/default/files/product_images/DAC_205-230.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_205-230_Right.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_205-230_Left.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_205-230.jpg
126,In-Line Helical Gear Reducer Dissectible,,null,https://tech-labs.com/sites/default/files/product_images/DAC_205-130.jpg,null,null,https://tech-labs.com/sites/default/files/product_images/DAC_205-130.jpg
127,In-Line Multiple-Reduction Helical Gear Reducer Cutaway,,null,https://tech-labs.com/sites/default/files/product_images/DAC_205-255_Front.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_205-255_Right.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_205-255_Left.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_205-255_Front.jpg
128,In-Line Planetary Gear Reducer Cutaway,,null,https://tech-labs.com/sites/default/files/product_images/DAC_205-285_Front.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_205-285_Left.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_205-285_Close.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_205-285_Front.jpg
129,Induced Draft Cooling Tower Model,,null,https://tech-labs.com/sites/default/files/product_images/DAC-298-Side.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-298-Close.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-298-Front.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-298-Side.jpg
130,Industrial Circuit Breaker Cutaway,,null,https://tech-labs.com/sites/default/files/product_images/DAC-273-905.jpg,null,null,https://tech-labs.com/sites/default/files/product_images/DAC-273-905.jpg
131,Journal and Fluid-Film Bearing Trainer,,null,https://tech-labs.com/sites/default/files/product_images/DAC-Worldwide_204J-000.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-Worldwide_204J-000-Right.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-Worldwide_204J-000-Left.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-Worldwide_204J-000.jpg
132,Journal and Fluid-Film Bearing Training System Plus,,null,https://tech-labs.com/sites/default/files/product_images/DAC-Worldwide_204J-PAC.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-Worldwide_204J-PAC-Right.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-Worldwide_204J-PAC-Left.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-Worldwide_204J-PAC.jpg
133,Kettle Type Reboiler Heat Exchanger Training Model,,null,https://tech-labs.com/sites/default/files/product_images/DAC-288-Angle2.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-288.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-288-Angle.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-288-Angle2.jpg
134,Kingsbury Thrust Bearing Model,,null,https://tech-labs.com/sites/default/files/product_images/dac_209-a.jpg,null,https://tech-labs.com/sites/default/files/product_images/dac_209-u.jpg,https://tech-labs.com/sites/default/files/product_images/dac_209-a.jpg
135,Lease Automatic Custody Transfer (LACT) Component Cutaway & Demonstration Package,,null,null,null,null,null
136,Lever-Operated Dump Valve Cutaway,,null,https://tech-labs.com/sites/default/files/product_images/DAC-295-705.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-295-705-side.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-295-705-front.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-295-705.jpg
137,"Lift Check Valve Cutaway, Oilfield-Type",,null,https://tech-labs.com/sites/default/files/product_images/DAC-295-717.jpg,null,null,https://tech-labs.com/sites/default/files/product_images/DAC-295-717.jpg
138,Linear Drives Training System,,null,https://tech-labs.com/sites/default/files/product_images/DAC_221-000-FULL.jpg,null,https://tech-labs.com/sites/default/files/product_images/DAC_221-000.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_221-000-FULL.jpg
139,Liquid Level Gauge Sample Dissectible,,null,https://tech-labs.com/sites/default/files/product_images/DAC_272-475.jpg,null,null,https://tech-labs.com/sites/default/files/product_images/DAC_272-475.jpg
140,LNG Spherical Storage Tank Model,,null,https://tech-labs.com/sites/default/files/product_images/DAC_295-201-2.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_295-201-3.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_295-201-1.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_295-201-2.jpg
141,Lobe Pump Dissectible,,null,https://tech-labs.com/sites/default/files/product_images/DAC_275-136-2.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_275-136-1.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_275-136-4.jpg,https://tech-labs.com/sites/default/files/product_images/DAC_275-136-2.jpg
142,Lock-Out/Tag-Out Training System,,null,https://tech-labs.com/sites/default/files/product_images/DAC-Worldwide-811-000-Front.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-Worldwide-811-000-Left.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-Worldwide-811-000-Back.jpg,https://tech-labs.com/sites/default/files/product_images/DAC-Worldwide-811-000-Front.jpg
